external_id,term_name,related_terms,GUID
,Block watch ,"Crime prevention, Public Safety, National Night Out, Emergency Preparedness, Block watch captain, Block party, Neighborhood walk, Graffiti cleanup"
,Public Safety,"Crime prevention, Block watch, Community policing, Dangerous intersection"
,Emergency preparedness,"Earthquake preparedness, Neighborhood supply, Emergency communication hubs"
,National Night Out,"Block party, Block Watch, Block watch captain, Neighborhood"
,Community garden,"Local food, School garden"
,Art walk,"Arts, Nightlife"
